고객번호,고객회사명,담당자명,담당자직위,주소,도시,지역,전화번호,마일리지
ACDDR,굿모닝서울,이은광,영업 과장,송파구 잠실동 220,서울특별시,,(02)978-1984,15911
ADHTR,엘케이 상사,김병현,영업 사원,동작구 흑석 3동 140-3,서울특별시,,(02)345-1945,406
AIHTR,씨엔그룹,김성민,영업 사원,가학동 301,광명시,경기도,(02)31-0345,8788
ANKFR,오리안무역 ,최지수,마케팅 과장,성북구 길음동 136-11,서울특별시,,(02)123-0345,6119
ANRFR,남해종합식품,강준,마케팅 과장,수택동 435,구리시,경기도,(034)756-2091,106
ANSFR,서보앰엔에프,김민경,영업 사원,동작구 대방동 36-8,서울특별시,,(02)211-2221,729
ATRAN,대정 인터내셔널,배순용,대표 이사,서초구 방배동 883-11,서울특별시,,(02)681-6889,128790
AUSBL,제원인터내쇼날,박지혜,영업 사원,서대문구 남가좌 1동 121,서울특별시,,(02)811-1234,47865
BEVBS,케이리할리스,오선주,영업 사원,구산동 17-111,김해시,경상남도,(0525)342-3333,8758
BQQZA,비큐큐푸드,황수영,대표 이사,서초구 서초동 120-3,서울특별시,,(02)456-9876,100
CARRI,진가식품,이두원,영업 사원,비전 1동 118-36,평택시,경기도,(033)945-1932,122
CCOPI,진산푸드,김효정,영업 과장,구로구 오류 1동 101,서울특별시,,(02)100-1670,1034
CORLA,한승F&B,이상훈,영업 사원,구로구 가리봉 1동 22-1,서울특별시,,(02)123-7981,1331
CSURI,유로에이치,이소영,영업 과장,서대문구 창천동 167-3,서울특별시,,(02)712-8931,6608
CTEVI,한국맥널트 무역,김유환,영업 사원,중구 답동 78,인천광역시,,(032)58-1984,939
CTUCA,유성물산교역,우지선,영업 사원,강남구 대치동 315-11,서울특별시,,(02)943-4486,7232
DOSGO,프루트코리아,김태욱,영업 과장,중구 광희동 1가 188-3,서울특별시,,(02)545-8911,713
DWOOL,하이롱 식품,김예진,영업 사원,도봉구 미아 7동 334-7,서울특별시,,(02)774-1290,6935
EALGR,주은통상,김웅인,마케팅 과장,종로구 송현동 87-14,서울특별시,,(02)676-6766,1068
EANOC,경북무역,김승정,영업 사원,종로구 와룡동 336,서울특별시,,(02)907-1884,1140
EBITH,그린로더스,홍소현,마케팅 과장,남동구 간석동 264-11,인천광역시,,(032)945-1846,81479
ECDSP,와이지트레이드,조재민,마케팅 과장,서초구 방배본동 102-3,서울특별시,,(02)184-1484,139
ECRTH,플라워푸드,권덕현,영업 사원,종로구 내자동 190-53,서울특별시,,(02)954-1397,364
EDEQU,에이원카프,박은빈,회계 과장,동구 신흥동 75-3,대전광역시,,(042)845-1093,139
EENQU,진산푸드 ,박지윤,마케팅 담당,중구 남산동 3가 43,서울특별시,,(02)764-7644,653
ENEKO,엠앤에스푸드,윤석영,영업 사원,서구가좌 1동 7,인천광역시,,(032)46-4565,1258
FFEVA,보성허브,김시혜,영업 과장,마포구 동교동 211-11,서울특별시,,(02)456-5667,906
FKIAL,태원 산업,권기호,영업 사원,가장동 78-3,상주시,경상북도,(0582)575-5776,7065
GAAMA,이베르코 무역,황진영,마케팅 과장,용산구 용문동 81-3,서울특별시,,(02)890-1109,136
GGCRE,경민코퍼레이션,유휘재,영업 사원,송파구 마천동 120,서울특별시,,(02)903-1908,114
HMSLE,대화유피스,조효주,영업 사원,마포구 대흥동 77-5,서울특별시,,(02)999-9938,78001
ICKQU,인터비스,정대광,회계 과장,서구 연희동 400-16,인천광역시,,(032)44-1114,857
INIPR,시드니식품,박동찬,영업 사원,덕진구 고랑동 290,전주시,전라북도,(065)145-1895,943
