주문번호,고객번호,사원번호,주문일,요청일,발송일
H0248,NETVI,E04,2020-03-12,2020-04-09,2020-03-24
H0249,MSPTO,E06,2020-03-13,2020-04-24,2020-03-18
H0250,NARHA,E04,2020-03-16,2020-04-13,2020-03-20
H0251,CTEVI,E03,2020-03-16,2020-04-13,2020-03-23
H0252,PRDSU,E04,2020-03-17,2020-04-14,2020-03-19
H0253,NARHA,E03,2020-03-18,2020-04-01,2020-03-24
H0254,OPSCH,E04,2020-03-19,2020-04-16,2020-03-31
H0255,CSURI,E09,2020-03-20,2020-04-17,2020-03-23
H0256,LLIWE,E03,2020-03-23,2020-04-20,2020-03-25
H0257,LAAHI,E04,2020-03-24,2020-04-21,2020-03-30
H0258,NSHER,E01,2020-03-25,2020-04-22,2020-03-31
H0259,NTCCE,E04,2020-03-26,2020-04-23,2020-04-02
H0260,TIKOT,E04,2020-03-27,2020-04-24,2020-04-06
H0261,EDEQU,E04,2020-03-27,2020-04-24,2020-04-07
H0262,TTCRA,E07,2020-03-30,2020-04-27,2020-04-02
H0263,NSHER,E09,2020-03-31,2020-04-28,2020-04-08
H0264,LKOFO,E06,2020-04-01,2020-04-29,2020-05-01
H0265,ONPBL,E03,2020-04-02,2020-04-30,2020-04-20
H0266,RTHWA,E03,2020-04-03,2020-05-15,2020-04-08
H0267,ANKFR,E04,2020-04-06,2020-05-04,2020-04-14
H0268,OSRGR,E07,2020-04-07,2020-05-05,2020-04-10
H0269,ITCWH,E04,2020-04-08,2020-04-22,2020-04-17
H0270,RTHWA,E01,2020-04-09,2020-05-07,2020-04-10
H0271,LIRSP,E06,2020-04-09,2020-05-07,2020-05-08
H0272,TTCRA,E06,2020-04-10,2020-05-08,2020-04-14
H0273,ICKQU,E03,2020-04-13,2020-05-11,2020-04-20
H0274,NETVI,E06,2020-04-14,2020-05-12,2020-04-24
H0275,GAAMA,E01,2020-04-15,2020-05-13,2020-04-17
H0276,RTUTO,E07,2020-04-16,2020-04-30,2020-04-22
H0277,RGKMO,E03,2020-04-17,2020-05-15,2020-04-21
H0278,RGSBE,E07,2020-04-20,2020-05-18,2020-04-24
H0279,HMSLE,E07,2020-04-21,2020-05-19,2020-04-24
H0280,RGSBE,E03,2020-04-22,2020-05-20,2020-05-21
H0281,MEYRO,E04,2020-04-22,2020-05-06,2020-04-29
H0282,MEYRO,E04,2020-04-23,2020-05-21,2020-04-29
H0283,LASLI,E03,2020-04-24,2020-05-22,2020-05-01
H0284,HMSLE,E04,2020-04-27,2020-05-25,2020-05-05
H0285,ICKQU,E01,2020-04-28,2020-05-26,2020-05-04
H0286,ICKQU,E07,2020-04-29,2020-05-27,2020-05-08
H0287,CARRI,E07,2020-04-30,2020-05-28,2020-05-06
H0288,GGCRE,E04,2020-05-01,2020-05-29,2020-05-12
H0289,BEVBS,E07,2020-05-04,2020-06-01,2020-05-06
H0290,MMICO,E07,2020-05-05,2020-06-02,2020-05-12
H0291,EDEQU,E06,2020-05-05,2020-06-02,2020-05-13
H0292,ADHTR,E01,2020-05-06,2020-06-03,2020-05-11
H0293,RTUTO,E01,2020-05-07,2020-06-04,2020-05-20
H0294,TTCRA,E04,2020-05-08,2020-06-05,2020-05-14
H0295,NETVI,E03,2020-05-11,2020-06-08,2020-05-19
H0296,LASLI,E06,2020-05-12,2020-06-09,2020-05-20
H0297,ONPBL,E04,2020-05-13,2020-06-24,2020-05-19
H0298,NGOHU,E06,2020-05-14,2020-06-11,2020-05-20
H0299,CARRI,E04,2020-05-15,2020-06-12,2020-05-22
H0300,GAAMA,E03,2020-05-18,2020-06-15,2020-05-27
H0301,NDKWA,E07,2020-05-18,2020-06-15,2020-05-26
H0302,PRDSU,E04,2020-05-19,2020-06-16,2020-06-17
H0303,DOSGO,E07,2020-05-20,2020-06-17,2020-05-27
H0304,RTUTO,E01,2020-05-21,2020-06-18,2020-05-26
H0305,DWOOL,E07,2020-05-22,2020-06-19,2020-06-17
H0306,MEYRO,E01,2020-05-25,2020-06-22,2020-06-01
H0307,NEPLO,E03,2020-05-26,2020-06-23,2020-06-03
H0308,ATRAN,E07,2020-05-27,2020-06-24,2020-06-02
H0309,NGOHU,E03,2020-05-28,2020-06-25,2020-07-01
H0310,EBITH,E07,2020-05-29,2020-06-26,2020-06-05
H0311,MONDU,E01,2020-05-29,2020-06-12,2020-06-04
H0312,NDKWA,E03,2020-06-01,2020-06-29,2020-06-11
H0313,ICKQU,E03,2020-06-02,2020-06-30,2020-06-12
H0314,TTCRA,E01,2020-06-03,2020-07-01,2020-06-12
H0315,LATIS,E04,2020-06-04,2020-07-02,2020-06-11
H0316,TTCRA,E01,2020-06-05,2020-07-03,2020-06-16
H0317,NEPLO,E06,2020-06-08,2020-07-06,2020-06-18
H0318,LATIS,E07,2020-06-09,2020-07-07,2020-06-12
H0319,RTUTO,E07,2020-06-10,2020-07-08,2020-06-19
H0320,RTHWA,E04,2020-06-11,2020-06-25,2020-06-26
H0321,LATIS,E03,2020-06-11,2020-07-09,2020-06-19
H0322,RICPE,E07,2020-06-12,2020-07-10,2020-07-01
H0323,ENEKO,E04,2020-06-15,2020-07-13,2020-06-22
H0324,VEASA,E09,2020-06-16,2020-07-14,2020-06-18
H0325,ENEKO,E01,2020-06-17,2020-07-01,2020-06-22
H0326,LIDBO,E04,2020-06-18,2020-07-16,2020-06-22
H0327,LKOFO,E03,2020-06-19,2020-07-17,2020-06-22
H0328,RIBFU,E04,2020-06-22,2020-07-20,2020-06-25
H0329,LIRSP,E04,2020-06-23,2020-08-04,2020-07-01
H0330,LASLI,E03,2020-06-24,2020-07-22,2020-07-06
H0331,NAPBO,E09,2020-06-24,2020-08-05,2020-06-29
H0332,REPME,E03,2020-06-25,2020-08-06,2020-06-29
H0333,RTHWA,E04,2020-06-26,2020-07-24,2020-07-03
H0334,CTEVI,E07,2020-06-29,2020-07-27,2020-07-06
H0335,NGOHU,E07,2020-06-30,2020-07-28,2020-07-02
H0336,INIPR,E07,2020-07-01,2020-07-29,2020-07-03
H0337,ANKFR,E04,2020-07-02,2020-07-30,2020-07-07
H0338,DWOOL,E04,2020-07-03,2020-07-31,2020-07-07
H0339,REPME,E03,2020-07-06,2020-08-03,2020-07-13
H0340,NAPBO,E01,2020-07-07,2020-08-04,2020-07-17
H0341,MOBSI,E07,2020-07-07,2020-08-04,2020-07-14
H0342,ANKFR,E04,2020-07-08,2020-07-22,2020-07-13
H0343,HMSLE,E04,2020-07-09,2020-08-06,2020-07-15
H0344,ITCWH,E04,2020-07-10,2020-08-07,2020-07-14
H0345,ICKQU,E03,2020-07-13,2020-08-10,2020-07-20
H0346,TTCRA,E03,2020-07-14,2020-08-25,2020-07-17
H0347,MIAFA,E04,2020-07-15,2020-08-12,2020-07-17
H0348,NDKWA,E04,2020-07-16,2020-08-13,2020-07-24
H0349,LIRSP,E07,2020-07-17,2020-08-14,2020-07-24
H0350,MAILA,E06,2020-07-20,2020-08-17,2020-08-11
H0351,NSHER,E01,2020-07-20,2020-08-17,2020-07-29
H0352,RIBFU,E03,2020-07-21,2020-08-04,2020-07-27
H0353,CCOPI,E07,2020-07-22,2020-08-19,2020-08-03
H0354,RICPE,E07,2020-07-23,2020-08-20,2020-07-29
H0355,OUTAR,E06,2020-07-24,2020-08-21,2020-07-29
H0356,NDKWA,E06,2020-07-27,2020-08-24,2020-08-05
H0357,LASLI,E01,2020-07-28,2020-08-25,2020-08-10
H0358,MAILA,E04,2020-07-29,2020-08-26,2020-08-05
H0359,VESSE,E04,2020-07-30,2020-08-27,2020-08-04
H0360,ONPBL,E04,2020-07-31,2020-08-28,2020-08-10
H0361,ICKQU,E01,2020-07-31,2020-08-28,2020-08-11
H0362,NAPBO,E03,2020-08-03,2020-08-31,2020-08-06
H0363,ACDDR,E04,2020-08-04,2020-09-01,2020-08-12
H0364,STCEA,E01,2020-08-04,2020-09-15,2020-08-12
H0365,TONAN,E03,2020-08-05,2020-09-02,2020-08-10
H0366,LEDGA,E07,2020-08-06,2020-09-17,2020-09-07
H0367,FFEVA,E07,2020-08-06,2020-09-03,2020-08-10
H0368,NSHER,E03,2020-08-07,2020-09-04,2020-08-10
H0369,LIRSP,E07,2020-08-10,2020-09-07,2020-08-17
H0370,OPSCH,E06,2020-08-11,2020-09-08,2020-09-04
H0371,MAILA,E01,2020-08-11,2020-09-08,2020-09-01
H0372,EENQU,E04,2020-08-12,2020-09-09,2020-08-17
H0373,NGOHU,E04,2020-08-13,2020-09-10,2020-08-19
H0374,LZAWO,E01,2020-08-13,2020-09-10,2020-08-17
H0375,NGCHU,E03,2020-08-14,2020-09-11,2020-08-17
H0376,REPME,E01,2020-08-17,2020-09-14,2020-08-21
H0377,VESSE,E01,2020-08-17,2020-09-14,2020-08-21
H0378,LKOFO,E04,2020-08-18,2020-09-15,2020-08-27
H0379,EDEQU,E03,2020-08-19,2020-09-16,2020-08-21
