주문번호,제품번호,단가,주문수량,할인율
H0248,11,1400,12,0
H0248,42,1000,10,0
H0248,72,3500,5,0
H0249,14,1900,9,0
H0249,51,4200,40,0
H0250,41,800,10,0
H0250,51,4200,35,0.150000006
H0250,65,1700,15,0.150000006
H0251,22,1700,6,0.050000001
H0251,57,1600,15,0.050000001
H0251,65,1700,20,0
H0252,20,6500,40,0.050000001
H0252,33,200,25,0.050000001
H0252,60,2700,40,0
H0253,31,1000,20,0
H0253,39,1400,42,0
H0253,49,1600,40,0
H0254,24,400,15,0.150000006
H0254,55,1900,21,0.150000006
H0254,74,800,21,0
H0255,2,1500,20,0
H0255,16,1400,35,0
H0255,36,1500,25,0
H0255,59,4400,30,0
H0256,53,2600,15,0
H0256,77,1000,12,0
H0257,27,3500,25,0
H0257,39,1400,6,0
H0257,77,1000,15,0
H0258,2,1500,50,0.200000003
H0258,5,1700,65,0.200000003
H0258,32,2600,6,0.200000003
H0259,21,800,10,0
H0259,37,2100,1,0
H0260,41,800,16,0.25
H0260,57,1600,50,0
H0260,62,3900,15,0.25
H0260,70,1200,21,0.25
H0261,21,800,20,0
H0261,35,1400,20,0
H0262,5,1700,12,0.200000003
H0262,7,2400,15,0
H0262,56,3000,2,0
H0263,16,1400,60,0.25
H0263,24,400,28,0
H0263,30,2100,60,0.25
H0263,74,800,36,0.25
H0264,2,1500,35,0
H0264,41,800,25,0.150000006
H0265,17,3100,30,0
H0265,70,1200,20,0
H0266,12,3000,12,0.050000001
H0267,40,1500,50,0
H0267,59,4400,70,0.150000006
H0267,76,1400,15,0.150000006
H0268,29,9900,10,0
H0268,72,2800,4,0
H0269,33,200,60,0.050000001
H0269,72,2800,20,0.050000001
H0270,36,1500,30,0
H0270,43,3700,25,0
H0271,33,200,24,0
H0272,20,6500,6,0
H0272,31,1000,40,0
H0272,72,2800,24,0
H0273,10,2500,24,0.050000001
H0273,31,1000,15,0.050000001
H0273,33,200,20,0
H0273,40,1500,60,0.050000001
H0273,76,1400,33,0.050000001
H0274,71,1700,20,0
H0274,72,2800,7,0
H0275,24,400,12,0.050000001
H0275,59,4400,6,0.050000001
H0276,10,2500,15,0
H0276,13,500,10,0
H0277,28,3600,20,0
H0277,62,3900,12,0
H0278,44,1600,16,0
H0278,59,4400,15,0
H0278,63,3500,8,0
H0278,73,1200,25,0
H0279,17,3100,15,0.25
H0280,24,400,12,0
H0280,55,1900,20,0
H0280,75,600,30,0
H0281,19,700,1,0
H0281,24,400,6,0
H0281,35,1400,4,0
H0282,30,2100,6,0
H0282,57,1600,2,0
H0283,15,1200,20,0
H0283,19,700,18,0
H0283,60,2700,35,0
H0283,72,2800,3,0
H0284,27,3500,15,0.25
H0284,44,1600,21,0
H0284,60,2700,20,0.25
H0284,67,1100,5,0.25
H0285,1,1400,45,0.200000003
H0285,40,1500,40,0.200000003
H0285,53,2600,36,0.200000003
H0286,35,1400,100,0
H0286,62,3900,40,0
H0287,16,1400,40,0.150000006
H0287,34,1100,20,0
H0287,46,1000,15,0.150000006
H0288,54,600,10,0.100000001
H0288,68,1000,3,0.100000001
H0289,3,800,30,0
H0289,64,2700,9,0
H0290,5,1700,20,0
H0290,29,9900,15,0
H0290,49,1600,15,0
H0290,77,1000,10,0
H0291,13,500,20,0.100000001
H0291,44,1600,24,0.100000001
H0291,51,4200,2,0.100000001
H0292,20,6500,20,0
H0293,18,5000,12,0
H0293,24,400,10,0
H0293,63,3500,5,0
H0293,75,600,6,0
H0294,1,1400,18,0
H0294,17,3100,15,0
H0294,43,3700,15,0
H0294,60,2700,21,0
H0294,75,600,6,0
H0295,56,3000,4,0
H0296,11,1700,12,0
H0296,16,1400,30,0
H0296,69,2900,15,0
H0297,39,1400,60,0
H0297,72,2800,20,0
H0298,2,1500,40,0
H0298,36,1500,40,0.25
H0298,59,4400,30,0.25
H0298,62,3900,15,0
H0299,19,700,15,0
H0299,70,1200,20,0
H0300,66,1400,30,0
H0300,68,1000,20,0
H0301,40,1500,10,0
H0301,56,3000,20,0
H0302,17,3100,40,0
H0302,28,3600,28,0
H0302,43,3700,12,0
H0303,40,1500,40,0.100000001
H0303,65,1700,30,0.100000001
H0303,68,1000,15,0.100000001
H0304,49,1600,30,0
H0304,59,4400,10,0
H0304,71,1700,2,0
H0305,18,5000,25,0.100000001
H0305,29,9900,25,0.100000001
H0305,39,1400,30,0.100000001
H0306,30,2100,10,0
H0306,53,2600,10,0
H0306,54,600,5,0
H0307,62,3900,10,0
H0307,68,1000,3,0
H0308,69,2900,1,0
H0308,70,1200,5,0
H0309,4,1800,20,0
H0309,6,2000,30,0
H0309,42,1100,2,0
H0309,43,3700,20,0
H0309,71,1700,3,0
H0310,16,1400,10,0
H0310,62,3900,5,0
H0311,42,1100,6,0
H0311,69,2900,7,0
H0312,28,3600,4,0
H0312,43,3700,24,0
H0312,53,2600,20,0
H0312,75,600,10,0
H0313,36,1500,12,0
H0314,32,2600,40,0.100000001
H0314,58,1100,30,0.100000001
H0314,62,3900,25,0.100000001
H0315,34,1100,14,0
H0315,70,1200,30,0
H0316,41,800,10,0
H0316,62,3900,70,0
H0317,1,1400,20,0
H0318,41,800,20,0
H0318,76,1400,6,0
H0319,17,3100,8,0
H0319,28,3600,14,0
H0319,76,1400,30,0
H0320,71,1700,30,0
H0321,35,1400,10,0
H0322,52,600,20,0
H0323,15,1200,5,0
H0323,25,1100,4,0
H0323,39,1400,4,0
H0324,16,1400,21,0.150000006
H0324,35,1400,70,0.150000006
H0324,46,1000,30,0
H0324,59,4400,40,0.150000006
H0324,63,3500,80,0.150000006
H0325,6,2000,6,0
H0325,13,500,12,0
H0325,14,1900,9,0
H0325,31,1000,4,0
H0325,72,2800,40,0
H0326,4,1800,24,0
H0326,57,1600,16,0
H0326,75,600,50,0
H0327,2,1500,25,0.200000003
H0327,11,1700,50,0.200000003
H0327,30,2100,35,0.200000003
H0327,58,1100,30,0.200000003
H0328,59,4400,9,0
H0328,65,1700,40,0
H0328,68,1000,10,0
H0329,19,700,10,0.050000001
H0329,30,2100,8,0.050000001
H0329,38,21100,20,0.050000001
H0329,56,3000,12,0.050000001
H0330,26,2500,50,0.150000006
H0330,72,2800,25,0.150000006
H0331,54,600,15,0
H0332,18,5000,40,0.200000003
H0332,42,1100,10,0.200000003
H0332,47,800,16,0.200000003
H0333,14,1900,10,0
H0333,21,800,10,0.100000001
H0333,71,1700,40,0.100000001
H0334,52,600,8,0
H0334,68,1000,10,0
H0335,2,1500,7,0.200000003
H0335,31,1000,25,0.200000003
H0335,32,2600,6,0.200000003
H0335,51,4200,48,0.200000003
H0336,4,1800,18,0.100000001
H0337,23,700,40,0
H0337,26,2500,24,0
H0337,36,1500,20,0
H0337,37,2100,28,0
H0337,72,2800,25,0
H0338,17,3100,20,0
H0338,30,2100,15,0
H0339,4,1800,10,0
H0339,17,3100,70,0.050000001
H0339,62,3900,28,0
H0340,18,5000,20,0.050000001
H0340,41,800,12,0.050000001
H0340,43,3700,40,0.050000001
H0341,33,200,8,0
H0341,59,4400,9,0.150000006
H0342,2,1500,24,0.200000003
H0342,31,1000,56,0.200000003
H0342,36,1500,40,0.200000003
H0342,55,1900,40,0.200000003
H0343,64,2700,50,0
H0343,68,1000,4,0.050000001
H0343,76,1400,15,0
H0344,4,1800,35,0
H0344,8,3200,70,0.25
H0345,8,3200,70,0
H0345,19,700,80,0
H0345,42,1100,9,0
H0346,17,3100,36,0.100000001
H0346,56,3000,20,0
H0347,25,1100,10,0
H0347,39,1400,50,0.150000006
H0347,40,1500,4,0
H0347,75,600,6,0.150000006
H0348,1,1400,15,0.150000006
H0348,23,700,25,0
H0349,54,600,24,0
H0350,50,1300,15,0.100000001
H0350,69,2900,18,0.100000001
H0351,38,21100,20,0.050000001
H0351,41,800,13,0
H0351,44,1600,77,0.050000001
H0351,65,1700,10,0.050000001
H0352,24,400,10,0
H0352,54,600,20,0.150000006
H0353,11,1700,12,0.200000003
H0353,38,21100,50,0.200000003
H0354,1,1400,12,0
H0354,29,9900,4,0
H0355,24,400,25,0
H0355,57,1600,25,0
H0356,31,1000,30,0
H0356,55,1900,12,0
H0356,69,2900,20,0
H0357,10,2500,30,0.200000003
H0357,26,2500,16,0
H0357,60,2700,8,0.200000003
H0358,24,400,10,0.050000001
H0358,34,1100,10,0.050000001
H0358,36,1500,20,0.050000001
H0359,16,1400,56,0.050000001
H0359,31,1000,70,0.050000001
H0359,60,2700,80,0.050000001
H0360,28,3600,30,0
H0360,29,9900,35,0
H0360,38,21100,10,0
H0360,49,1600,35,0
H0360,54,600,28,0
H0361,39,1400,54,0.100000001
H0361,60,2700,55,0.100000001
H0362,25,1100,50,0
H0362,51,4200,20,0
H0362,54,600,24,0
H0363,31,1000,20,0
H0363,75,600,12,0
H0363,76,1400,12,0
H0364,69,2900,30,0
H0364,71,1700,5,0
H0365,11,1700,24,0
H0366,65,1700,5,0
H0366,77,1000,5,0
H0367,34,1100,36,0
H0367,54,600,18,0
H0367,65,1700,15,0
H0367,77,1000,7,0
H0368,21,800,5,0.100000001
H0368,28,3600,13,0.100000001
H0368,57,1600,25,0
H0368,64,2700,35,0.100000001
H0369,29,9900,20,0
H0369,56,3000,18,0.25
H0370,1,1400,15,0.150000006
H0370,64,2700,30,0
H0370,74,800,20,0.150000006
H0371,36,1500,6,0.200000003
H0372,20,6500,12,0.25
H0372,38,21100,40,0.25
H0372,60,2700,70,0.25
H0372,72,2800,42,0.25
H0373,58,1100,80,0.200000003
H0373,71,1700,50,0.200000003
H0374,31,1000,30,0
H0374,58,1100,15,0
H0375,14,1900,15,0
H0375,54,600,10,0
H0376,31,1000,42,0.050000001
H0377,28,3600,20,0.150000006
H0377,39,1400,20,0.150000006
H0378,71,1700,6,0
H0379,41,800,8,0.100000001
H0379,63,3500,16,0.100000001
H0379,65,1700,20,0.100000001
H0380,30,2100,18,0.100000001
H0380,53,2600,20,0.100000001
H0380,60,2700,6,0.100000001
H0380,70,1200,30,0
H0381,74,800,14,0
H0382,5,1700,32,0
H0382,18,5000,9,0
H0382,29,9900,14,0
H0382,33,200,60,0
H0382,74,800,50,0
H0383,13,500,20,0
H0383,50,1300,15,0
H0383,56,3000,20,0
H0384,20,6500,28,0
H0384,60,2700,15,0
H0385,7,2400,10,0.200000003
H0385,60,2700,20,0.200000003
H0385,68,1000,8,0.200000003
H0386,24,400,15,0
H0386,34,1100,10,0
H0387,24,400,15,0
H0387,28,3600,6,0
H0387,59,4400,12,0
H0387,71,1700,15,0
H0388,45,800,15,0.200000003
H0388,52,600,20,0.200000003
H0388,53,2600,40,0
H0389,10,2500,16,0
H0389,55,1900,15,0
H0389,62,3900,20,0
H0389,70,1200,30,0
H0390,31,1000,60,0.100000001
H0390,35,1400,40,0.100000001
H0390,46,1000,45,0
H0390,72,2800,24,0.100000001
H0391,13,500,18,0
H0392,69,2900,50,0
H0393,2,1500,25,0.25
H0393,14,1900,42,0.25
